Name,Email,Phone,Age,Income Range,Employment Status,Amount Owed,Type of Debt,Delinquency Status,Transcripts,Sentiment Labels,Payment History,Financial Hardship Indicator,Communication Preference,Formality Level
Marjorie Snyder,marjoriesnyder@example.com,294-454-6358x09653,67,150000+,Self-Employed,5532.59,Student Loan,In Arrears,National write sound poor behavior clearly down.,Neutral,"750.38, 2021-12-28, Minimum Payment; 2343.82, 2022-11-22, Minimum Payment; 3559.31, 2022-01-26, Partial Payment; 1475.1, 2022-05-22, Full Payment; 4056.43, 2022-04-25, Minimum Payment; 2488.84, 2023-09-21, Minimum Payment; 4998.14, 2023-03-17, Minimum Payment; 4940.07, 2021-09-09, Minimum Payment; 3002.21, 2023-04-30, Minimum Payment; 705.88, 2022-04-12, Full Payment; 1480.58, 2022-12-25, Minimum Payment; 3132.77, 2023-06-15, Minimum Payment; 828.46, 2023-03-26, Full Payment; 2026.34, 2022-05-11, Full Payment; 1032.62, 2022-03-07, Partial Payment; 571.66, 2022-06-13, Full Payment; 1284.14, 2024-01-06, Full Payment; 1797.0, 2023-06-11, Partial Payment; 1648.59, 2022-05-22, Full Payment","Bankruptcy, Foreclosure",Mail,Casual
Sara Knight,saraknight@example.com,(920)337-3488,21,50000-75000,Retired,177563.74,Mortgage,Defaulted,Second top maybe player.; Own become fast system class member.; Peace range catch several tough factor phone.; For board light region job watch.,Negative; Neutral; Positive; Neutral,"3252.43, 2021-10-09, Minimum Payment; 1122.39, 2023-01-10, Minimum Payment; 3988.02, 2021-08-02, Partial Payment; 4750.54, 2022-05-12, Full Payment; 2192.95, 2024-02-13, Partial Payment; 1185.88, 2024-01-29, Full Payment; 4269.82, 2021-10-17, Full Payment; 2290.09, 2023-04-04, Partial Payment; 1267.96, 2023-04-02, Full Payment; 1553.48, 2021-07-09, Partial Payment; 924.02, 2023-08-06, Full Payment; 396.45, 2023-04-29, Full Payment; 1945.33, 2023-12-27, Minimum Payment; 1564.92, 2021-09-12, Partial Payment; 2065.3, 2023-12-12, Minimum Payment; 485.55, 2022-06-21, Partial Payment; 4759.24, 2021-08-09, Partial Payment; 2344.65, 2023-07-28, Partial Payment; 4555.56, 2022-05-26, Full Payment; 4870.52, 2023-06-28, Minimum Payment",Divorce,Phone,Casual
Arnold Terrill,arnoldterrill@example.com,+1-280-648-9783x0208,18,25000-50000,Unemployed,166749.27,Mortgage,Defaulted,Work economy next fear energy country finally.; Involve level issue cold tell consider.; Peace become involve yeah police no go so.; Center some despite move choose their.; Population five deal politics small town.; Expert guess area structure fire sometimes paper.; Official recent story throughout minute do away.; Industry mission ready issue eight blue.; Big wonder test site have.,Negative; Negative; Neutral; Negative; Positive; Neutral; Positive; Neutral; Negative,"3460.14, 2022-11-12, Minimum Payment; 585.33, 2024-01-09, Minimum Payment; 942.15, 2023-05-15, Full Payment; 4281.21, 2023-03-19, Full Payment; 2867.55, 2021-06-18, Partial Payment","Unemployment, Medical Emergency, Divorce, Bankruptcy, Foreclosure",Email,Casual
Marian Mclaughlin,marianmclaughlin@example.com,788-930-7663x4248,63,100000-150000,Unemployed,125927.46,Personal Loan,Defaulted,We moment response suddenly.,Neutral,"4641.02, 2021-07-17, Partial Payment; 681.47, 2023-03-20, Full Payment; 4343.98, 2024-02-09, Partial Payment; 4376.49, 2022-01-18, Minimum Payment; 701.81, 2021-06-06, Full Payment; 2800.06, 2024-03-19, Partial Payment; 4204.07, 2022-12-10, Partial Payment; 1271.35, 2023-01-07, Full Payment; 3623.79, 2022-01-24, Minimum Payment; 3588.44, 2022-12-10, Minimum Payment; 1377.95, 2021-11-02, Minimum Payment; 4380.36, 2024-01-25, Full Payment; 3516.09, 2023-08-21, Minimum Payment; 2716.75, 2023-07-02, Full Payment; 4209.95, 2022-11-01, Minimum Payment; 4025.94, 2023-07-15, Full Payment","Unemployment, Medical Emergency",Phone,Casual
Teresa Lachenauer,teresalachenauer@example.com,001-972-721-9467,64,0-25000,Unemployed,112878.28,Auto Loan,Defaulted,Over author reveal letter charge move.; Before act few always product half thank something.; Letter how when shoulder all Mr work peace.; Another such heavy career say product interest.; Suddenly rule major less.; Pay official beyond American boy water.; Step trip training crime join cup view.,Neutral; Neutral; Positive; Positive; Negative; Positive; Negative,"2824.71, 2022-06-12, Full Payment; 4797.35, 2024-01-24, Partial Payment; 917.88, 2024-01-16, Minimum Payment; 4044.62, 2023-02-15, Full Payment; 2750.28, 2022-01-09, Full Payment; 1103.63, 2022-10-06, Minimum Payment; 1518.14, 2023-02-11, Minimum Payment; 3706.83, 2023-07-20, Full Payment","Bankruptcy, Divorce, Medical Emergency",Mail,Casual
Michael Lancaster,michaellancaster@example.com,350.908.3331x8553,75,0-25000,Employed,162389.4,Medical Bills,Defaulted,Color law trial return dinner more.; Whom hospital exist rather.; Television unit physical region message member specific according.; Culture out best tell seek.; Participant might collection quite upon recent campaign.; Service continue his break a chance hold.; Out capital here.,Negative; Neutral; Positive; Negative; Negative; Negative; Neutral,"1028.07, 2021-05-10, Minimum Payment; 3899.7, 2021-07-05, Partial Payment; 3243.31, 2023-08-07, Partial Payment; 540.43, 2022-01-04, Full Payment; 493.49, 2023-05-27, Partial Payment; 4911.09, 2023-09-04, Partial Payment; 2073.49, 2023-07-13, Partial Payment; 1570.14, 2021-08-20, Full Payment; 3463.61, 2022-06-22, Full Payment; 1279.7, 2021-11-24, Minimum Payment; 2853.03, 2022-05-22, Full Payment; 2528.33, 2023-01-03, Partial Payment; 1455.29, 2021-08-24, Minimum Payment; 4478.92, 2022-05-22, Full Payment; 2480.57, 2021-10-16, Full Payment; 265.35, 2023-12-26, Partial Payment; 4757.92, 2021-10-12, Partial Payment; 4110.07, 2022-04-14, Full Payment; 2846.71, 2021-09-13, Minimum Payment",,Mail,Casual
Joe Numbers,joenumbers@example.com,001-543-775-1068x513,51,50000-75000,Self-Employed,78220.19,Mortgage,Defaulted,Thing commercial stage wide wall own.; Hair far opportunity focus quite.; Hair daughter reflect national fall similar answer certain.; Four different again red example past first.; Issue student live admit modern.; Scientist matter production quickly wind growth.; Project nor fire raise.; White dream operation continue Democrat everything.; What rich detail politics prevent capital growth.; Try stop ago little parent.,Negative; Positive; Negative; Negative; Positive; Neutral; Negative; Neutral; Positive; Positive,"2658.33, 2022-03-05, Partial Payment; 4067.02, 2024-03-20, Minimum Payment; 3669.71, 2021-08-04, Partial Payment; 4943.91, 2021-07-22, Partial Payment",,Text,Formal
James Faust,jamesfaust@example.com,(551)335-1403x69374,45,150000+,Self-Employed,84997.91,Mortgage,Defaulted,Car reduce physical give beautiful mouth even respond.; Its energy together world brother.; Later hour friend detail.; Activity finally better recognize run last likely explain.; Piece must discussion building fight.; Drug avoid animal matter himself bad usually sit.; More during mind half improve.; Doctor ten mean wall environment while field.,Positive; Neutral; Neutral; Neutral; Neutral; Positive; Neutral; Negative,"602.76, 2022-07-30, Full Payment; 3872.14, 2022-12-19, Minimum Payment","Bankruptcy, Unemployment, Medical Emergency, Foreclosure",Email,Formal
Jennie Corbin,jenniecorbin@example.com,7864833564,69,50000-75000,Unemployed,98690.31,Personal Loan,Defaulted,Situation consider gun interesting.; Meeting professional business audience.; Decision serve suffer.; Grow religious film fear recent common.; Animal air rate economic very.; Politics term prepare work painting film.; Happen friend find beat clear share.; Century big environmental national.; Mouth rate security young beyond.; Realize order trade election.,Positive; Neutral; Negative; Neutral; Negative; Positive; Neutral; Negative; Positive; Positive,"231.66, 2021-08-23, Full Payment; 3786.51, 2023-04-16, Minimum Payment; 2472.14, 2024-03-21, Minimum Payment; 2406.41, 2024-04-08, Partial Payment; 4559.9, 2024-04-22, Full Payment; 133.35, 2021-11-10, Minimum Payment; 4665.72, 2021-08-01, Minimum Payment; 268.05, 2022-01-29, Minimum Payment; 3085.8, 2021-12-10, Minimum Payment; 4583.74, 2022-11-06, Minimum Payment; 3422.91, 2023-10-01, Partial Payment; 1304.21, 2022-06-14, Minimum Payment; 4613.32, 2022-01-19, Partial Payment; 1088.4, 2023-03-02, Partial Payment; 708.55, 2023-01-05, Minimum Payment; 2244.81, 2021-09-10, Minimum Payment; 2264.23, 2023-07-18, Full Payment; 382.21, 2021-05-17, Minimum Payment; 4661.21, 2022-03-27, Minimum Payment; 3026.19, 2022-11-25, Full Payment","Unemployment, Medical Emergency, Bankruptcy, Foreclosure, Divorce",Mail,Casual
Kristopher Chilton,kristopherchilton@example.com,692.595.3800x203,75,100000-150000,Retired,107242.9,Student Loan,Defaulted,Republican occur half course.; Fine social guy PM he.; Important require idea perform result travel and.; Mention garden land worry still site.,Neutral; Negative; Positive; Positive,"748.46, 2022-12-15, Minimum Payment; 1895.38, 2023-08-04, Partial Payment","Divorce, Unemployment, Bankruptcy, Foreclosure",Text,Casual
Dwayne Eversoll,dwayneeversoll@example.com,845.471.9179,63,0-25000,Employed,53486.82,Student Loan,Defaulted,West between successful student federal ability area.; Play poor sea get she listen interesting.; Young second both decide entire success pick.; Brother whose state manager city place former mouth.; Record else represent evening evening peace.; Subject kid who speech.,Neutral; Positive; Negative; Positive; Neutral; Positive,"3157.94, 2021-09-13, Full Payment; 4703.68, 2021-08-08, Partial Payment; 4731.99, 2021-11-26, Partial Payment; 1457.28, 2024-03-25, Full Payment; 1630.02, 2023-05-20, Full Payment; 2327.63, 2022-05-11, Partial Payment; 2208.59, 2023-07-24, Partial Payment; 4322.36, 2023-09-08, Minimum Payment",,Text,Formal
Martha Bova,marthabova@example.com,778-906-5261x58156,48,150000+,Unemployed,135842.87,Personal Loan,Defaulted,Much agent experience ever visit while.; Power design almost dream simply.; Else food option.; Marriage great office necessary yourself citizen.; Since why outside.; Benefit standard record reality civil type degree.; Idea research future explain seek market.; Source around without significant foreign.; Magazine car conference medical if world.,Neutral; Negative; Neutral; Negative; Positive; Positive; Negative; Neutral; Positive,"1729.82, 2022-12-12, Minimum Payment; 4178.87, 2023-05-06, Minimum Payment; 3396.76, 2022-09-27, Partial Payment; 1056.97, 2022-10-23, Partial Payment; 2808.41, 2022-02-16, Full Payment; 2524.52, 2021-10-25, Partial Payment; 3260.98, 2022-10-11, Partial Payment; 1855.93, 2021-12-27, Partial Payment; 1896.69, 2021-08-26, Partial Payment; 2780.85, 2021-10-03, Minimum Payment; 1050.47, 2023-04-26, Full Payment; 692.03, 2023-02-02, Full Payment; 2408.55, 2024-03-26, Full Payment; 4345.65, 2023-04-12, Minimum Payment; 2624.03, 2021-11-28, Minimum Payment; 4985.43, 2022-06-02, Full Payment; 3813.83, 2023-07-14, Partial Payment; 4925.89, 2023-07-03, Partial Payment; 1208.64, 2024-03-19, Partial Payment; 1641.92, 2021-07-13, Partial Payment","Foreclosure, Unemployment",Email,Casual
Derrick Mudd,derrickmudd@example.com,385-770-9067,70,100000-150000,Unemployed,131876.18,Auto Loan,Defaulted,Specific agreement involve account education yourself system.; Affect society fire officer organization baby.; Line should themselves including.; Agree join even fire detail political.; Finish rich life culture game very collection.; Rise ground story successful beat business television.,Positive; Positive; Neutral; Negative; Negative; Neutral,"3977.09, 2023-12-13, Partial Payment; 955.4, 2021-08-09, Full Payment; 4181.85, 2023-09-15, Minimum Payment; 1047.24, 2023-03-24, Full Payment; 4832.29, 2024-01-19, Minimum Payment; 151.26, 2022-11-16, Partial Payment; 2430.22, 2023-03-24, Full Payment; 1438.08, 2023-09-03, Minimum Payment; 4693.96, 2023-12-31, Full Payment; 1612.9, 2022-07-17, Minimum Payment; 4449.13, 2021-09-21, Partial Payment; 4431.01, 2023-01-17, Minimum Payment; 2461.79, 2022-04-16, Partial Payment","Foreclosure, Unemployment, Bankruptcy, Medical Emergency",Phone,Casual
Michael Mitchell,michaelmitchell@example.com,+1-587-855-6433x04387,51,25000-50000,Retired,119200.39,Auto Loan,In Arrears,Adult human election ever wife expert.; Pm factor member science management change at.; Experience view bill beautiful term.; Bring factor set.; Medical night view agency read.; Among quite education.; Opportunity couple kid body itself.,Negative; Positive; Negative; Negative; Negative; Neutral; Positive,"721.86, 2022-10-28, Partial Payment; 1247.72, 2023-11-23, Full Payment; 62.24, 2021-11-18, Minimum Payment; 656.8, 2022-12-14, Full Payment; 2181.76, 2022-08-13, Full Payment; 2090.36, 2023-08-27, Minimum Payment; 1612.72, 2023-05-28, Full Payment; 4871.74, 2022-09-03, Minimum Payment; 3893.89, 2022-05-07, Partial Payment; 3978.91, 2023-05-01, Full Payment; 3299.46, 2022-01-06, Full Payment; 454.91, 2023-03-06, Partial Payment; 4836.77, 2022-10-28, Partial Payment; 3523.46, 2024-01-12, Minimum Payment; 4587.44, 2023-04-23, Full Payment; 2344.33, 2024-03-22, Minimum Payment; 3424.43, 2023-06-05, Full Payment","Medical Emergency, Divorce",Phone,Formal
Bryan Bucher,bryanbucher@example.com,661-289-8425,61,150000+,Retired,10064.45,Mortgage,Defaulted,Agent will choice theory audience like or environmental.,Positive,"1930.78, 2022-03-25, Partial Payment; 2080.14, 2022-12-14, Partial Payment; 4767.33, 2023-05-10, Full Payment; 4817.77, 2023-11-17, Minimum Payment",Divorce,Mail,Formal
Noemi Riney,noemiriney@example.com,907.846.8484x62485,64,150000+,Employed,174727.58,Credit Card,Defaulted,Seem tax probably unit finally lawyer second pull.; Together fish evidence truth board ever.; Man realize mean race collection.; Focus wonder dog subject civil local reflect.; Look country or real.; Onto scene organization statement nor could success amount.,Positive; Neutral; Negative; Neutral; Negative; Positive,"3492.37, 2023-06-06, Full Payment; 2687.01, 2023-09-28, Minimum Payment; 4181.39, 2021-12-05, Partial Payment; 4602.46, 2021-12-01, Full Payment; 3948.16, 2022-02-18, Minimum Payment; 4219.12, 2023-05-13, Minimum Payment; 2306.29, 2021-09-30, Full Payment; 284.25, 2023-02-12, Minimum Payment; 1325.96, 2023-10-20, Minimum Payment; 1146.94, 2024-02-19, Partial Payment; 1941.95, 2021-08-30, Partial Payment; 4445.02, 2022-09-03, Partial Payment; 1263.92, 2023-10-08, Partial Payment; 3394.16, 2022-04-09, Full Payment","Divorce, Medical Emergency, Foreclosure",Mail,Formal
Stephen Gallagher,stephengallagher@example.com,001-899-674-4384x490,42,150000+,Self-Employed,124970.05,Personal Loan,Defaulted,Responsibility age which by small.; All interview today body.; Live real finish sure life first what.,Neutral; Negative; Positive,"2766.15, 2023-12-28, Partial Payment; 1462.29, 2023-02-03, Full Payment; 3931.46, 2023-10-10, Partial Payment; 2956.44, 2021-05-13, Full Payment; 4429.34, 2023-06-30, Full Payment; 3270.23, 2022-09-09, Full Payment","Divorce, Bankruptcy, Medical Emergency, Unemployment",Email,Casual
William King,williamking@example.com,(988)594-8691x395,49,25000-50000,Retired,112176.14,Personal Loan,In Arrears,Particularly worry drug threat summer whatever.,Negative,"3533.77, 2022-01-01, Partial Payment; 4983.17, 2022-03-16, Partial Payment; 780.93, 2021-11-04, Partial Payment; 1984.77, 2024-02-01, Full Payment; 956.89, 2023-09-18, Partial Payment; 2150.51, 2022-12-25, Partial Payment; 642.77, 2022-03-20, Partial Payment; 4209.02, 2022-12-25, Partial Payment; 2277.15, 2024-02-02, Full Payment; 3769.82, 2023-06-21, Full Payment; 1454.06, 2022-08-13, Partial Payment; 1488.2, 2022-10-27, Partial Payment; 2902.1, 2022-02-06, Minimum Payment; 3396.66, 2021-11-30, Full Payment; 464.3, 2023-07-14, Minimum Payment; 1820.38, 2023-11-21, Full Payment; 4559.35, 2023-05-01, Full Payment; 827.82, 2021-06-06, Minimum Payment; 4025.43, 2022-01-12, Full Payment; 4925.56, 2021-11-28, Minimum Payment","Divorce, Foreclosure, Medical Emergency",Phone,Formal
Mary Lemons,marylemons@example.com,-9628,63,75000-100000,Self-Employed,77725.24,Auto Loan,Defaulted,Security government Republican avoid.; Exactly life sort sit list data oil.; While decision occur travel baby no.,Positive; Neutral; Neutral,"3747.9, 2023-04-08, Partial Payment; 1520.53, 2022-03-22, Full Payment; 2971.43, 2024-01-16, Full Payment; 3816.46, 2024-03-29, Full Payment; 4410.67, 2022-05-01, Minimum Payment; 4867.71, 2024-02-09, Partial Payment; 1957.73, 2023-10-30, Partial Payment",Divorce,Phone,Casual
Helen Manley,helenmanley@example.com,597-720-2996,76,0-25000,Unemployed,160876.17,Personal Loan,Defaulted,After end suddenly start either drug I.; Feel later when.; Author without author.; Quite ability push test sea shake sit.; Myself choice room road leg.,Positive; Positive; Positive; Positive; Neutral,"831.87, 2023-08-15, Partial Payment; 83.78, 2023-12-06, Minimum Payment; 2865.46, 2021-06-08, Partial Payment; 1340.57, 2023-12-03, Minimum Payment; 702.76, 2021-06-22, Full Payment; 3167.08, 2022-03-03, Minimum Payment; 999.67, 2023-04-16, Minimum Payment; 3116.99, 2023-04-05, Full Payment; 305.55, 2023-08-04, Minimum Payment; 2661.88, 2024-04-10, Minimum Payment; 1988.73, 2023-06-12, Partial Payment; 433.48, 2023-05-26, Full Payment; 4926.54, 2024-05-01, Partial Payment; 4549.17, 2024-02-03, Full Payment; 2294.95, 2022-06-10, Minimum Payment; 2586.84, 2024-04-24, Full Payment; 3496.47, 2021-10-19, Full Payment; 4895.54, 2022-08-01, Partial Payment","Unemployment, Foreclosure, Medical Emergency",Text,Casual
Maria Crandall,mariacrandall@example.com,310-717-8521,61,25000-50000,Employed,108437.36,Student Loan,In Arrears,Behind would herself.; Dinner practice adult throughout begin very.; Meet song candidate officer.; Common power fish.; Teach however start example expert.,Positive; Neutral; Positive; Neutral; Negative,"3928.35, 2023-11-04, Minimum Payment; 3005.23, 2022-10-19, Partial Payment; 1628.85, 2021-05-20, Minimum Payment; 1682.73, 2023-09-10, Partial Payment; 4205.0, 2024-04-12, Full Payment; 499.36, 2021-05-19, Partial Payment; 3661.62, 2022-01-22, Partial Payment; 1829.12, 2024-03-06, Full Payment; 4714.69, 2022-11-30, Partial Payment; 3814.66, 2022-11-21, Partial Payment",Divorce,Mail,Casual
Calvin Blount,calvinblount@example.com,578-607-5814,79,0-25000,Self-Employed,25793.2,Credit Card,Defaulted,Two policy step piece try practice if soldier.; Also here deal past.; Lose floor field turn world.,Positive; Positive; Neutral,"3093.21, 2023-02-07, Minimum Payment; 3150.81, 2022-12-16, Full Payment; 1828.39, 2022-12-18, Minimum Payment; 1083.3, 2023-08-25, Minimum Payment","Divorce, Foreclosure, Medical Emergency, Unemployment",Text,Casual
Bobby Oswalt,bobbyoswalt@example.com,775-239-1983,18,100000-150000,Employed,92395.69,Student Loan,Defaulted,Trial figure everyone nearly worker music.; Team which order of.; True movement despite.,Negative; Positive; Negative,"526.81, 2022-12-04, Partial Payment; 2028.03, 2021-09-29, Partial Payment; 977.67, 2023-10-04, Full Payment; 1032.08, 2022-06-18, Partial Payment; 2334.75, 2023-01-17, Full Payment; 3555.62, 2021-08-05, Partial Payment; 3468.07, 2022-04-30, Minimum Payment; 713.88, 2023-11-03, Partial Payment; 3505.79, 2022-03-10, Partial Payment; 953.31, 2023-09-27, Partial Payment; 2543.24, 2023-04-25, Partial Payment; 2878.64, 2023-10-11, Full Payment; 3019.08, 2023-10-16, Minimum Payment; 4098.21, 2022-02-08, Minimum Payment; 3470.19, 2023-05-24, Full Payment; 4459.27, 2023-10-05, Full Payment; 4075.87, 2022-04-24, Full Payment; 2031.18, 2021-08-21, Minimum Payment",Medical Emergency,Email,Casual
